ImageName,Length,Length_corrected
Image_1714.jpg,1153.9551,1093.4169
Image_1715.jpg,1002.0413,958.4397
Image_1716.jpg,912.1169,872.3318
Image_1717.jpg,1091.9395,1025.072
Image_1717.jpg,1168.6967,1090.1851
Image_1717.jpg,1073.5632,1012.8468
Image_1718.jpg,1191.2288,1129.1622
Image_1719.jpg,1243.7155,1173.6252
Image_1720.jpg,1087.8132,1030.1938
Image_1720.jpg,1052.2482,988.5927
Image_1721.jpg,1140.3415,1078.0911
Image_1722.jpg,856.1226,805.8002
Image_1723.jpg,940.8461,889.5272
Image_1723.jpg,1152.3984,1098.924
Image_1724.jpg,1045.4384,987.955
Image_1724.jpg,1015.2725,965.8188
Image_1724.jpg,949.5249,895.9333
Image_1725.jpg,1172.4632,1125.2864
Image_1725.jpg,1117.5802,1068.8706
Image_1725.jpg,977.1782,933.1862
Image_1726.jpg,1073.8126,1010.7254
Image_1727.jpg,1082.8321,1021.9811
Image_1728.jpg,1197.921,1133.4236
Image_1729.jpg,1208.0946,1147.1015
Image_1730.jpg,1052.7208,995.7979
Image_1731.jpg,1066.8698,1020.8439
Image_1731.jpg,1256.4908,1187.9806
Image_1732.jpg,1064.0889,1014.4454
Image_1733.jpg,1171.3708,1124.3334
Image_1734.jpg,1057.5202,1002.282
Image_1734.jpg,850.8636,806.6069
Image_1734.jpg,1028.8005,971.0253
Image_1735.jpg,1200.8504,1129.2833
Image_1736.jpg,841.0997,790.7765
Image_1737.jpg,1148.8267,1089.5389
Image_1738.jpg,953.3732,890.4717
Image_1738.jpg,1166.0393,1106.1438
Image_1739.jpg,1168.5091,1086.3725
Image_1740.jpg,1202.5317,1153.6867
Image_1740.jpg,1009.6941,964.6955
Image_1740.jpg,1097.3018,1044.8518
Image_1741.jpg,1298.811,1229.1451
Image_1742.jpg,1160.1355,1097.1471
Image_1743.jpg,1086.8313,1029.6463
Image_1744.jpg,1172.8134,1109.048
Image_1745.jpg,1167.7966,24833.9627
Image_1745.jpg,945.3868,894.9888
Image_1746.jpg,1011.1664,959.1865
Image_1746.jpg,942.3625,893.1341
Image_1747.jpg,889.903,844.2806
Image_1748.jpg,1173.4511,1088.9348
Image_1749.jpg,1129.3652,1069.6114
Image_1749.jpg,860.8782,819.7651
Image_1749.jpg,959.7057,903.4217
Image_1750.jpg,957.1717,894.9093
Image_1750.jpg,1062.816,1012.9494
Image_1751.jpg,1219.7787,1157.7484
Image_1752.jpg,970.2794,914.8551
